city,electoral_district,candidate,party,registration_date_roc,incumbent,roster_status,source_title,source_url,source_date
南投縣,南投縣第5選舉區,陳宜君,民主進步黨,115/09/03,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第5選舉區,黃國裕,中國國民黨,115/09/04,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第6選舉區,江秉翰,無黨籍,115/09/03,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第6選舉區,石慶龍 Rungquan‧ Lhkatafatu,無黨籍,115/09/02,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第7選舉區,全文才 Balan‧Soqluman,中國國民黨,115/09/03,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第7選舉區,王榮儀,無黨籍,115/08/31,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第7選舉區,田東憲,無黨籍,115/09/02,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第8選舉區,林庭秝 AliWalis,中國國民黨,115/09/02,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
嘉義市,嘉義市第1選舉區,何苡睿,台聯黨,115/08/31,否,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第1選舉區,傅大偉,中國國民黨,115/09/03,是,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
